id,tweet,label
1309061613761289984,@username okpo ntu!!!!  we still have adult diapers.  onye iberibe,Hate
411446716521787008,"okpo ntu""@username : olori buruku""@username : lol onye iberibe""@username : @username so na only igbos full here? ode",Hate
1634821751644250112,@username nwaanyi watsup it's too early ##url,Normal
1636275731138259968,@username asamma nwaanyi oma🥰❤️,Normal
1633438995106390016,"made this woman love anime.   now, gojo satoru don take my place as wallpaper.   umu nwaanyi di egwu.",Normal
1634920074170490112,@username 🙌🙌🙌agụ nwaanyị ❤️❤️❤️🥰,Normal
1632701227090820096,@username nwaanyị ọma ❤️,Normal
1634195007962860032,@username you're welcome nwaanyi bekee (beautiful queen),Normal
1636799823394240000,"@username ịchọ lu mi-ọnụ, ije chọ nwaanyị nke gị na. apụ ndị ń eme love 😂",Normal
1637112685434220032,@username ndo nwanne m nwaanyị ❤️,Normal
1634853356480120064,ahubeghi m onye did nasty ka @username 😭😂  anam ewishi zi na m bu nwaanyi.😭😂 ##url,Hate
1633988593130579968,@username face the truth asịrị nwaanyị,Hate
1634925201019350016,@username chidubem nwaanyị mara mma. kedụ?,Normal
1632154873453060096,@username agbawa ekete bu nwaanyi 🔥,Normal
1329877411060649984,@username chai nwaanyi ofe mmanu,Hate
1637214780653019904,@username wo ọkwa ụmụ nwaanyị nwe ụwa a,Normal
1635700681699879936,@username gi na umu nwaanyi obidi,Normal
1634824900287259904,@username ogbunigwe the first☝️. ana apala apa one of okwute dynasty. agụ nwaanyị nke mbụ☝️,Hate
1130039098058649984,"#igbotwittercommunity; 'o gini na esogbu ndi ofe mmanu na ndi ozo?  i hula etu ndi igbo na twitter  si akwado asusu igbo ka o bu nwaanyi a luru ohuru na akwado kwa nzuko hangout, e nwere ndi ona ewe iwe.   it doesn't suit the narrative that ndi igbo are self hating so everyone ##url",Normal
1636067913705690112,@username okalu m mma na mu nodulu onwe m dan na m nwe enyi nwaanyi ga egbu m egbu,Normal
1637356816467209984,@username good morning nwaanyi oma .,Normal
1633772706683379968,"nwaanyi muta ite ofe mmiri mmiri, di ya amuta ipi utara aka were suru ofe.",Normal
1636676042457740032,@username odugwu nwaanyi 👏,Normal
1342442024973289984,"@username unu a kọjọrọ ụmụ nwoke igbo akụkọ unu ama tọ ụtọ, ọ dịka unu bụ ụmụ nwaanyị igbo ana emeka ọfụma. i sịrị pizza bunye fa, ị jụkwa fa ma fa ana eri pizza? ebe onye fụlụ ịfụ n' anya kalu ya mma, ya jisi ike. onye ofe mmanụ nụọ gị ọfụma. udo!",Normal
1633343796585840128,"ụbọchị ụmụ nwaanyị  ị na-egosi ike, ịhụnanya na onyinye n'ihe ọ bụla ị mere. site na gị ka ngọzi kachasị si abịa ụwa. udo, amara, amamihe na ebube ka ị na-ezipụta ebe ọ bụla ị nọ.  nwatakịrị ọ bụla ị kwụ n'azụ ga-abarịrị uru. 👇🏾👇🏾 ##url",Normal
1633364243201359872,@username nne nwaanyị! daalụ!,Normal
406511805591089024,"nope ""@username : yoruba people smooching you/her? rt @username : ndi ofe mmanu, hapu kwanu nu nwata nwaanyi a aka nu biko.""",Hate
1634877879216640000,@username 🤣 🤣 nwaanyị gị aka e gbu ewu,Normal
1635036516996219904,"@username nwaanyị nke a, ịmaka ị na-achaba m anya",Normal
1632332794889210112,agu nwaanyi ✊✊✊✊✊ ##url,Normal
1632333325120480000,@username nwaanyị ọma see my account number 3113269034 firstbank. ##url,Normal
1634509744500090112,🤣🤣🤣🤣🤣 akpi zukwanuike ebe ụmụ nwaanyị nọ. ##url,Normal
1633231819792359936,@username chukwu ga gba nwaanyi ahu oku. alili!!!,Hate
1637042923106710016,"@username nne, jide k'iji! agbala nwaanyi k'i bu!!!!!",Normal
1635874287788640000,@username daalu nwaanyi oma 😊,Normal
1633072447095170048,umu nwaanyi please nau! 😥 ##url,Normal
1633381814772400128,@username ya bụ na m mara mma nwaanyị 💃💃💃... imeela nwanne m 😁,Normal
1633540797877339904,today on how to massage in nwaanyị ike 😂 ##url,Normal
1635684690542700032,nwaanyi oma 🥹🥹🥹🥹 ##url,Normal
1634571962491059968,"@username jisi ike nwaanyị ọma, you're really an amazing woman 🙌🏻🙌🏻🙌🏻",Normal
1635768481030249984,"@username nwaanyị ọma see me now,  8064410448  opay",Normal
1634894397782500096,@username umu nwaanyị nzuzu,Hate
330715364797316992,"lol.curse""@username : nkita rakwa nwanne gi nwaanyi@username : onye iberibe, nna gi onyeoshi, @username : 98% of igbo boys are armed robbers""",Hate
1633006891260430080,"n'omenala igbo tupu nwoke alụọ nwaanyị nna ya, nne ya na ụmụnna ya ga-ama maka nke ahụ. nwaanyị ọ bụla o dubatara n'ụlọ n'emeghị ego isi ya, ezinụlọ anaghị anabata ya.",Normal
1636506137875840000,@username nwaanyi inokwa na obodo a? ihiala they've shooting and bombing since last year,Normal
1636585032209910016,‘nwaanyi ike’ will revolutionise igbo series production ##url,Normal
406508080701377984,"exactly rt @username : ndi ofe mmanu, hapu kwanu nu nwata nwaanyi a aka nu biko.",Normal
1634165676725199872,@username nwaanyi eze ginger!! pls just stop eeett,Hate
1632341056745250048,@username mbaise kii u. nwunye m aburo onye mba5. onwero ihe gbasalum with nwaanyi ozo.,Normal
1632135760932489984,@username dalụ nwaanyị ọma😍🤗,Normal
1635733531954400000,@username nwaanyi na nma,Normal
1635224108995869952,@username nwaanyị ọma chi-chi i want to drink 2 bottles of black bottle.,Normal
1634584476507409920,@username nwaanyi mara mma 😊,Normal
1632278017761319936,"@username certainly, my governor. i await your ascension to lead anambra soon. @username is a one term governor na aha jisos christ bu onye nwaanyi. amen",Normal
1632432573057039872,@username agu nwaanyi. a lion a lion @username,Normal
1167922777992519936,"@username ọ kwa unu na-ahụ ya. onye iberibe na-eme e kee nwaanyị ụzọ abụọ, ọ ga buru ukwu ya...😂 😂 😂",Normal
1633535141044960000,when it comes to paying of taxes  the yorubas will not remind igbos they're not part of one nigeria but during election they will threaten and destroy igbo properties telling us to go home. ndi igbo agadi nwaanyị daa nda ada abụọ ọ gụọ ihe ọ bu na ikpa ọnụ. #endnigeria,Normal
1636638265171209984,"@username nwaanyi oma,that's the deal ooo..",Normal
1632130487320730112,"i don't mind, okwa social media passwords then it's okay. mana any financial account password then you count me out oo, ehen! maka umu nwaanyi these days, ha na eri ego dika snake na erie na ime government house naijeriya. ##url",Normal
1633768670491960064,@username nwaanyi kpowa nsi with a big smile osiso,Hate
1633867838162370048,@username gozikwa gi nwaanyi oma,Normal
1635931661845110016,@username nwaanyi bekee imara mma 😊,Normal
1634869043927849984,@username so pretty. nwaanyi oma🌹🌹🌹🌹,Normal
1633343799756760064,"nwoke ọ bụla ị nọnyere na-abụ ọkaibe n'akaọrụ ya. ihe ọ bụla ị kpebiri na ị ga-abụ ka ị ga-abụrịrị.  n'ezie, amaghị m ihe ụwa a ga-abụ ma ụmụ nwaanyị anọghị n'ime ya.  #womensday2023",Normal
1635950475693499904,@username kiki of the most high  asa nwa  dalu nwaanyi oma,Normal
1633746801495859968,@username aga amuta nwaanyi,Normal
1632836886786980096,"😂 😂 😂  nnenna is me, i am nnenna 😂😂. she's the nwaanyị ike ##url",Normal
1634311309268239872,@username nwaanyi bekee 🥰,Normal
1632987584224800000,"chi efosaanu o!  ndụ ka akụ ma bụrụkwa isi. ọfọ m na-agọ n’isi nwoke na nwaanyị taa bụ na ka i ji ndụ ya aga igba mbọ aka aja aja ka ọnụ wee bụrụ gị na ndị be gị mmanụ mmanụ, ụkwụ ị ga-eji abata ga-aka nke i ji pụọ mma.",Normal
1634431678427820032,daalụ nwaanyị ọma!!! ##url,Normal
1633766689601969920,"@username lolo ana ma fu gi ekele kwam gi ma ,keep doing wah you're doing ma . oya masi mu obuna e ge mepe your dms i want to tell you something odugwu nwaanyi.",Normal
1635007249298119936,@username ndewo nwaanyi oma,Normal
1633443870317979904,@username nwa nwaanyi deeper life 🌹   idi godi very obedient ❤️,Normal
1635260532738650112,@username nwanne m nwaanyị 🤗,Normal
1634200048522210048,@username good morning nwaanyi oma(beautiful woman),Normal
1633241850482919936,@username congratulations nwanne m nwaanyi. iheoma ru nma,Normal
1634857736856009984,@username oga dịkwa mma ma gị dere nwaanyị ọma a. ka unu otawago on a kum kum....,Normal
1632518071440090112,@username much love ezigbo nwaanyi💞 good luck.,Normal
1636609762279269888,di - husband  nwunye - wife nne di/nne nwunye - mother-in-law  nna di/nna nwunye - father-in-law  nwanne di/ nwanne nwunye - sister-in-law/brother-in- law ọgọ - in-law nwa nwaanyị - daughter nwa nwoke - son ada - 1st daughter  ọkpara - 1st son nne na nna - parents  💖 43/100,Normal
1090604720161500032,"@username ah! ihe ndi a mme odiro kwa mma oooo! 😨 mana nne biko eweliwe, nwepu kwa ya, maka ndi mmadu na uwa ga fu, ndi ofe mmanu ga na asi na umu nwaanyi igbo na eme ajo ihe 🤔 chai! but enhhhh can u just imagine, ihere na eme m sef, what a nonsense, haiiii! 😲",Hate
1632463508729210112,@username daalụ nwaanyị ọma.,Normal
1635702840453649920,@username imara mma nwaanyi bekee 🥰,Normal
1637133355723389952,"@username kwusi ife a ina ekwu nwanna, lol. umu nwaanyi igbo enwero options, hapu ya ka ha na eri kwa nri ndi afonja maka nsogbu adiro cha cha 🙂 oburu na nwoke igbo na gwa gi na oga lu nwaanyi afonja ugbua ehen! iga ekwu ezigbo okwu, tobit 4:12 laid emphasis on ""son"" not daughter.",Normal
1346092043718810112,"ọ kwa onye iberibe gburu ede awịị. onye mụnye be ya ọkụ, ọ gbachaa, ọ sị na ebe niile efochapụla. uche gị dịkwa ebe onye nya akpa asụ nri nọ maka na nwaanyị okwu na ụka na-asị nwunye dị ya gbanye ya mmanụ ka ya were taa akwụ.",Normal
1632833799133220096,"nwamba ka ọ bụ nkịta?  otu nwaanyị ekpebiela hoohaa na ọ nweghịkwa ihe ga-ejikọ ya na nwa mba. aha ya bụ oriaku anyanwụ. gịnị na-ese okwu? ọ sị n'otu oge, otu nwamba batara be ya, na-ebe, ""nwunye anyanwụ, ị nwere anwụrụ?""  nwamba na nkịta kedụ nke masịrị gị? ##url",Normal
1636720883300440064,@username nwaanyi ozalla nyelu m breakfast in 2015 mana ya diba 🥲,Normal
1636441737827579904,"@username lol. bia umu nwaanyi onitsha, unu na eme mkpotu.",Hate
1635738051950370048,@username wee mee gini 😒  ka eyi ya nwaanyi wuo mu acid? biko kwa 🙄,Normal
1632254213555190016,@username ezigbo nwaanyị 🥰,Normal
1635679583318970112,@username akwụna i je na ṅụọ nwaanyị. je sample ba hotel,Hate
1634575217627360000,"otutu mmadu na lu nwaanyi na ime facebook na twitter ma imaro ya ofuma, ikwesiri ima na ije di na nwunye bu 1+1 is 1 obughi 1+1 is 2 🤣🤣",Normal
1632996611365250048,"@username udo dịrị gị, nwaanyị ọma.",Normal
1633397308422340096,nwaanyị - bụ - ihe!  i celebrate all women!  you're a nation!  keep being phenomenal.  ~ your male friend. #internationalwomensday,Normal
1637372994015069952,@username odugwu nwaanyi udo di ri gi ma,Normal
1634593599655399936,@username onwere nwaanyị bi na yard anyị kwụrụ ya.,Normal
314392911364096000,"@username need to see this -------&gt;@username : @username lol biko rapu go di ndi ofe mmanu, fa ma kwanu otu e si a nu nwaanyi?”",Hate
1634759444260329984,"@username igbo name specifically for females:  mgbafor mgbeke  mgbaorie akwaeke  adaeze  adaure  nnennaya  nwaanyi mma, etc  amara, ebere,oluchi, chinenye, nonye, etc are unisex.",Normal
1635210874360300032,@username nwaanyị ọma i salute you.,Normal
1633257949379399936,@username nwaanyị nkanu i bem,Normal
1636120397169949952,@username congratulations nwaanyị oma! udo!,Normal
1633587009703869952,"@username happy international women's day, nwaanyi oma.",Normal
1637092968065530112,"@username daalu, nwaanyi oma.",Normal
1634274837723069952,isi ewu ke 😹😹 ##url,Normal
1633580027957649920,@username u be mumu … ewu,Hate
1636985043716320000,"@username u be werey, that ifo local government na ogun state.. ewu",Hate
1635687415158380032,@username hapu ewu a,Hate
1635954584685360128,"@username sorry oo ibu ewu, so rufai is now buhari and cbn? ndo",Hate
1100110173954329984,"@username no be only banish na expulsion,since na your papa create the world ewu ,anuofia.onye iberibe ##url",Hate
1267113214791350016,"@username onye ara, iwu ewu weruawu dajabu gi onye iberibe😘",Hate
1633918344150629888,@username you gat to be kidding right ke-ihe gbasara ewu na-egwu ndi aturu,Hate
1044342849251270016,@username onye iberibe  like you...kitikpa gbaa gi der ewu,Hate
1178414804303790080,"this one bụ ezigbote idiot, ewu gambia, onye nzuzu. ##url",Hate
1637090178144640000,@username person just waste isi ewu,Hate
1474688915894269952,"@username you must waste your timeooo human eater. ori madu like you. onye oshi, onye iberibe, anumanu, ewu criminaaal nnamdi. onye nzuzu, oluku. aturu ipob. senselessss and nonentity idiooottt. you're among the ori madu aka human eater in igbo land. ashi gba gi onye ara. ekwensu di ka gi.",Hate
1634183132281720064,@username ewu ka gi nma   anu ohia,Hate
1637404046746170112,@username ị bụ ewu,Hate
1169825537654569984,"@username anupama, ewu xenophobia, onye nzuzu, bro get healed fro hate",Hate
1637355052745489920,"@username must u say u be igbo, ewu",Hate
1633717203911559936,@username anụ ọhịa. you are back to you default self. ewu akpụ eje akwa,Hate
98471066187468800,lmfao! lekwe.....mchew##url iberibe! isi'gi meibele! rt @username : @username isi o meibiele go? ekwelem bagi akante!,Hate
1129082192745910016,"@username hapu ewu ahu. ochoro igwa anyi ihe anyi ga eme. amakwam na obu onye ""ofe mmanu""",Hate
1633817569692989952,@username ewu - 🐐 goat,Hate
1632672533081370112,700 ewu  cooog ##url,Hate
1633224798972130048,@username ichie mmaduka: arrant nonsense! tie ewu n'abu!,Hate
1635436172129479936,@username jos seket ewu kak,Hate
1632150967205459968,@username ewu igbo shame on you,Hate
1632333440115780096,@username ewu ki bu,Hate
1634017923755899904,"@username ị ga-ata ahụhụ, ma gị na ezinụlọ gị ga-anọgide na-abụ ohu nigeria.  ewu",Hate
1563491444815719936,"@username negodu onye iberibe a...... nkita rachacha gi anya, ubiam na agu abuziri aha ezinulo gi na mpa gi. ewu gambia",Hate
1633477953345520128,@username ewu nkea ka na eme exist 😂😂,Hate
1637082922535510016,@username ewu drop post code  na ezuzu,Hate
1265255674369499904,it is this empty akpa amụ; this ukwu ewu; this onye nzuzu that is referring to these pretty ladies as “what”. ##url,Hate
1540430084884110080,@username but they deserve apc and tinubu?  onye nzuzu. onye ara. onye apari. ewu,Hate
1635390538278129920,@username pele ewu nigeria 😂😂😂,Hate
1390581445446569984,@username ewu mmeeeee!!!!!! anuofia onye nzuzu,Hate
1385509702159770112,@username ewurugho onye ofe mmanu ogwaya,Hate
536540552947179008,"lovren bu ezi, br bu anu ofia, mignolet bu onye iberibe, gerrard bu agadi nwoke n'agwo ofe, sterling but ewu&gt;&gt; fa ncha bu ndi ara&gt;&gt;",Hate
1636854426236270080,@username ụla wuru ewụ.,Hate
1633771327092930048,"@username bia ewu aa mechikwanu onu for once, oginidi..",Hate
1634945997041449984,"@username in 2023 or what, ijikwa anya gi ewu",Hate
1633349161109139968,@username itara akwu ka obu ka ezegi di?? taaa mechie onu there. ewu kambia,Hate
1637251098472760064,"@username ara gbawaa gi onu ,ewu",Hate
1637010909296989952,@username ewu in advance 😹,Hate
1632799112683830016,@username till weekend. even edoga is still a continuation of pdp. nweta ewu mmanye na ogbili  na nweta ogbili mmaye ewu bu ofu.,Hate
1636751624579209984,@username what's the nature of your madness mkpi nagbaru ora ewu! ##url,Hate
