,id,tweet
0,78293806,"""@username àwon to bi e ni retard 🤣🤣😭😭😭  omo ale 🤣🤣🤣"""
1,78293807,"""@username oponu, didirin di robo, ode jati jati 😏😏"""
2,78293808,"""werey yin ti podo re 😂 ##url"
3,78293809,"""koniragba fun gbogbo awon werey ton beyin ati enu to fin paro yen ##url"
4,78293810,"""ònpè mi ni zaddy!   taloni zaddy weyrey 😂   kóshidanù!  @username """
5,78293811,"""@username oloriburuku ni awon eleyi oh."""
6,78293812,"""what’s hantavirus again???🤡🤡🤡..   awon oyinbo yi ti ya weyrey o"""
7,78293813,"""imole ati egbe pdp ma lule ni osun ni ojo saturday 😆😆😆😆"""
8,78293814,"""that moment when you and your friends are in the gym, and boom - iron drops. the whole hall will erupt and everybody will come through their balcony to shout ""ọmọ àlè, pa'ra ẹ óò, shey o gbọ... bóyá nnkan tí wọn rán ẹ wàá ṣe ni school nìyẹn"" ##url"
9,78293815,"""somebody that i'm just looking at. which mumu amosun ?  outside of abeokuta, the roads are out of shape. no where looks neat. ota, owode, yewa, agbara, igbesa, ìjẹ̀bú òde (fair), etc. ##url"
10,78293816,"""@username omo ale jati jati ni bobo yen"""
11,78293817,"""oloshi agbaya kosi nibiti won ti so idi afibi ti wonti baje. very tribalistic bigotry man radarada. ##url"
12,78293818,"""igboro ti daru oooo !!!!  oju apari spain re lode oooo 🥺😂   #munmci"""
13,78293819,"""@username oloriburuku, onijere   isinku gan onijere.  awon tan ni e oni jere e  eyin omo ofo abipabe"""
14,78293820,"""chealse arsenal  @username te support wan ti lule owo ti nwogbo 😂🤣😂#egesports"""
15,78293821,"""@username happy deliberations and safe trip back home. àyunlọ àyunbọ̀ ń lọwọ́ ń yún ẹnu, ọmọ olódó idẹ."""
16,78293822,"""@username olódò ràbàtà"""
17,78293823,"""@username that you are not a good ghanian and you've also shown how gullible you can be òlòrìbùrúkù somebody"""
18,78293824,"""i hope you heal 🤧if not that ,i was told to respect my elders ,ma ti gbeyin shekpe,eyin agbaya ,oloshi ,oloriburuku somebody .koni yenyin one more time ##url"
19,78293825,"""emery na oloriburuku,agbaya oshi,eleribu,akindanidani,oloshi,eni ti o ye ki epe mu,emery yi fit no die well oo😬😬"""
20,78293826,"""@username oponu omo alè jati jati would have being better, ranting in naija"""
21,78293827,"""orí gbogbo àwọn aláìṣẹ̀ tí a ti pa, lọ́wọ́ awọn ́ẹ̀yà ti o nlo ìtàjẹ̀sílẹ̀ bi ohun ayo ni orílẹ̀-èdè ńlá yìí, tí wọ́n ti yíjú sí ibi tí wọ́n ń pa ènìyàn bí ẹranko. orí gbogbo àwọn aláìse yii yóò bi yin léèrè.🇳🇬"""
22,78293828,"""@username awon iran baba e ni omo ale, o de ni kure… iwo oloriburuku omo iran kiran, adojutini omo lawujo… o ni sorire !"""
23,78293829,"""@username oloriburuku ni e saheed ✅"""
24,78293830,"""@username baba e ni olodo. omo rada rada"""
25,78293831,"""@username awon eleyi ja nitori obirin ni oh 🙆🏾‍♂️🙆🏾‍♂️😂"""
26,78293832,"""weyrey said we need to do something about me, omo ale jati jati, oloriburuku, alaye baje. ##url"
27,78293833,"""@username asiko tito ta o so fuwon pe asiwaju yin laje,  ko ni buru fun ori ka de fila sorikun ese 2x enu won mefa, enu won meje, a o ni belenu meji sheyrey mo"""
28,78293834,"""he thinks he's british now. mumu burúkú, o lọń dẹ́jàà🤦 o n pẹ kí wọn tó lù pa ##url"
29,78293835,"""so of all the yorubas in nigeria, tinubu is the best you could provide?  oloriburuku ni ẹni tó ní account yí  kndfatn ##url"
30,78293836,"""@ rayufoots we give you the best call or whatsapp 08100242201 👍🏿 @ oki olodo junction,ibadan! ##url"
31,78293837,"""olorun maje. olorun ma ba temi je. aa ni ri apadasiburuku. iran baba meta o kin t’oshi. oluwa tu ide kosikosi laye wa. mo bo lowo eleyi na. ooin! ##url"
32,78293838,"""for ease of movement and connection of travelers to their destinations, this project will complement the newly commissioned 14km ijebu-ode-mojoda-epe toll road.   #buildingourfuturetogether #iseya #ogunstate #dapoabiodun ##url"
33,78293839,"""#honourabletungba #honourablekunleafod ijebu ode ogun state 08147995273 mtn ##url"
34,78293840,"""@username omo yiiiiii, eleyi po, ni osan friday. bobo eee ngba dun gan niooooo."""
35,78293841,"""@username awon family e ni oloriburuku,eyin omo ale gbogbo"""
36,78293842,"""ọmọ àlè ló ńfi ọwọ́ òsì tọ́ka sí ilé bàbá rẹ̀. ##url"
37,78293843,"""maṣe dibo fun awọn ole. eniyan ti o kan le gba owo lati ijoba lati ṣiṣe owo ebi. jọwọ maṣe dibo fun ole ##url"
38,78293844,"""back to source. ojúde oba, ní ìjèbú ode.  a good family is everything!  11.07.2022 ##url"
39,78293845,"""òrò buruku lęnu werey #endswat ##url"
40,78293846,"""@username má pe pàdí e l'óle"""
41,78293847,"""@username oloriburuku omo ale jati jati!"""
42,78293848,"""*ẹranko tó ya wèrè bí ẹṣin ò wọ́pọ̀: ẹṣin fi ọmọ rẹ̀ sílẹ̀ ó ńgbé ọmọ ọlọ́mọ kiri.   not many animals are as stupid as the horse: it left its offspring unattended and carried those of others around."""
43,78293849,"""@username yes ooo. omo olodo de ti de  awon ti fi okan bale"""
44,78293850,"""@username oloriburuku aburo oloshi.🤣😀 friendly leadership,bobo yen ti yi l'ori o."""
45,78293851,"""shey nitori election le shey wa s'ora yin di olodo bayii? 😭"""
46,78293852,"""@username aunty ode mo ni ko gbenu oshi e dake olori gbeske olodo rabata oshi🙄"""
47,78293853,"""@username awon olodo gbogbo."""
48,78293854,"""aj is a bitch for fighting smart, being tactical and winning back his lost belts  àní orí gbogbo yín tí dàrú  🤦🏿‍♂🤦🏿‍♂🤦🏿‍♂🤦🏿‍♂  #ruizjoshua2 #joshuaruiz2 #andyruiz"""
49,78293855,"""ni iwonba, ose ati ojo ti o ku ki odun yii pari, omo araye koni fi egba funwa ni ounje, won ko ni s'ofo lori aye enikan kan wa, ìṣẹ̀lẹ̀ láabi kò ní kángun sí sàkání ẹnìkọ́ọ̀kan wa,  gbogbo wa naa la ma se oun rere  ninu ojo perete ti o ku ni oruko jésù kristi. amin."""
50,78293856,"""ordinary giveaway o tun wè óśè but gbo gbo eleyi o necessary.  o need è rara🚶🏽"""
51,78293857,"""your excellency báwo? ẹ yọ excellency dànù kúrò lórúkọ werey... talo ni excellency olofo? #endsars #endpoliceharassment #endpolicebrutality #endsarsimmediately"""
